Year,Year ending,Local Government Area,Sex,Alleged Offender Incidents
2018,December,Nillumbik,Males,535
2018,December,Northern Grampians,Females,79
2018,December,Northern Grampians,Males,331
2018,December,Port Phillip,Females,652
2018,December,Port Phillip,Males,"2,649"
2018,December,Pyrenees,Females,30
2018,December,Pyrenees,Males,97
2018,December,Queenscliffe,Females,6
2018,December,Queenscliffe,Males,26
2018,December,South Gippsland,Females,94
2018,December,South Gippsland,Males,450
2018,December,Southern Grampians,Females,152
2018,December,Southern Grampians,Males,527
2018,December,Stonnington,Females,660
2018,December,Stonnington,Males,"2,382"
2018,December,Strathbogie,Females,44
2018,December,Strathbogie,Males,167
2018,December,Surf Coast,Females,54
2018,December,Surf Coast,Males,281
2018,December,Swan Hill,Females,241
2018,December,Swan Hill,Males,793
2018,December,Towong,Females,10
2018,December,Towong,Males,66
2018,December,Wangaratta,Females,236
2018,December,Wangaratta,Males,751
2018,December,Warrnambool,Females,415
2018,December,Warrnambool,Males,"1,255"
2018,December,Wellington,Females,357
2018,December,Wellington,Males,"1,169"
2018,December,West Wimmera,Females,8
2018,December,West Wimmera,Males,58
2018,December,Whitehorse,Females,490
2018,December,Whitehorse,Males,"1,675"
2018,December,Whittlesea,Females,"1,209"
2018,December,Whittlesea,Males,"3,594"
2018,December,Wodonga,Females,284
2018,December,Wodonga,Males,926
2018,December,Wyndham,Females,927
