Year,Year ending,Local Government Area,Age Group,Alleged Offender Incidents
2022,December,Towong,45+ years,18
2022,December,Wangaratta,10 - 17 years,146
2022,December,Wangaratta,18 - 24 years,202
2022,December,Wangaratta,25 - 29 years,140
2022,December,Wangaratta,30 - 34 years,94
2022,December,Wangaratta,35 - 39 years,121
2022,December,Wangaratta,40 - 44 years,77
2022,December,Wangaratta,45+ years,219
2022,December,Warrnambool,10 - 17 years,97
2022,December,Warrnambool,18 - 24 years,211
2022,December,Warrnambool,25 - 29 years,152
2022,December,Warrnambool,30 - 34 years,202
2022,December,Warrnambool,35 - 39 years,193
2022,December,Warrnambool,40 - 44 years,125
2022,December,Warrnambool,45+ years,254
2022,December,Wellington,10 - 17 years,221
2022,December,Wellington,18 - 24 years,275
2022,December,Wellington,25 - 29 years,181
2022,December,Wellington,30 - 34 years,230
2022,December,Wellington,35 - 39 years,224
2022,December,Wellington,40 - 44 years,217
2022,December,Wellington,45+ years,448
2022,December,West Wimmera,18 - 24 years,
2022,December,West Wimmera,25 - 29 years,
2022,December,West Wimmera,30 - 34 years,
2022,December,West Wimmera,35 - 39 years,
2022,December,West Wimmera,40 - 44 years,
2022,December,West Wimmera,45+ years,
2022,December,Whitehorse,10 - 17 years,229
2022,December,Whitehorse,18 - 24 years,324
2022,December,Whitehorse,25 - 29 years,309
2022,December,Whitehorse,30 - 34 years,282
2022,December,Whitehorse,35 - 39 years,249
2022,December,Whitehorse,40 - 44 years,205
2022,December,Whitehorse,45+ years,507
2022,December,Whittlesea,10 - 17 years,551
2022,December,Whittlesea,18 - 24 years,716
2022,December,Whittlesea,25 - 29 years,616
2022,December,Whittlesea,30 - 34 years,708
2022,December,Whittlesea,35 - 39 years,645
2022,December,Whittlesea,40 - 44 years,507
2022,December,Whittlesea,45+ years,941
2022,December,Wodonga,10 - 17 years,229
2022,December,Wodonga,18 - 24 years,220
2022,December,Wodonga,25 - 29 years,234
2022,December,Wodonga,30 - 34 years,194
2022,December,Wodonga,35 - 39 years,158
2022,December,Wodonga,40 - 44 years,95
2022,December,Wodonga,45+ years,209
2022,December,Wyndham,10 - 17 years,921
2022,December,Wyndham,18 - 24 years,"1,041"
2022,December,Wyndham,25 - 29 years,860
2022,December,Wyndham,30 - 34 years,998
2022,December,Wyndham,35 - 39 years,793
2022,December,Wyndham,40 - 44 years,534
2022,December,Wyndham,45+ years,877
2022,December,Yarra,10 - 17 years,182
2022,December,Yarra,18 - 24 years,361
2022,December,Yarra,25 - 29 years,411
2022,December,Yarra,30 - 34 years,546
2022,December,Yarra,35 - 39 years,461
2022,December,Yarra,40 - 44 years,442
2022,December,Yarra,45+ years,666
2022,December,Yarra Ranges,10 - 17 years,489
2022,December,Yarra Ranges,18 - 24 years,379
2022,December,Yarra Ranges,25 - 29 years,308
2022,December,Yarra Ranges,30 - 34 years,280
2022,December,Yarra Ranges,35 - 39 years,261
2022,December,Yarra Ranges,40 - 44 years,292
2022,December,Yarra Ranges,45+ years,566
2022,December,Yarriambiack,10 - 17 years,14
2022,December,Yarriambiack,18 - 24 years,16
2022,December,Yarriambiack,25 - 29 years,12
2022,December,Yarriambiack,30 - 34 years,13
2022,December,Yarriambiack,35 - 39 years,25
2022,December,Yarriambiack,40 - 44 years,19
2022,December,Yarriambiack,45+ years,54
2021,December,Alpine,10 - 17 years,44
2021,December,Alpine,18 - 24 years,40
2021,December,Alpine,25 - 29 years,31
2021,December,Alpine,30 - 34 years,31
2021,December,Alpine,35 - 39 years,30
2021,December,Alpine,40 - 44 years,12
2021,December,Alpine,45+ years,55
2021,December,Ararat,10 - 17 years,63
2021,December,Ararat,18 - 24 years,86
2021,December,Ararat,25 - 29 years,102
2021,December,Ararat,30 - 34 years,70
2021,December,Ararat,35 - 39 years,86
2021,December,Ararat,40 - 44 years,51
2021,December,Ararat,45+ years,152
2021,December,Ballarat,10 - 17 years,297
2021,December,Ballarat,18 - 24 years,651
2021,December,Ballarat,25 - 29 years,502
2021,December,Ballarat,30 - 34 years,377
